Command: show arp
Executed at: 2024-08-13 11:13:10
Output:
Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  161.8.108.243         109   e0d5.5e4c.f501  ARPA   Vlan108
Internet  161.8.108.244           7   c81f.ea5b.9d5c  ARPA   Vlan108
Internet  161.8.108.245         130   b42e.990c.020f  ARPA   Vlan108
Internet  161.8.108.246          26   001c.58a2.9863  ARPA   Vlan108
Internet  161.8.108.247          39   d85e.d3c6.5aeb  ARPA   Vlan108
Internet  161.8.108.251           3   c81f.ea6f.77f3  ARPA   Vlan108
Internet  161.8.108.254           0   c87f.5404.63fe  ARPA   Vlan108
Internet  161.8.154.1             -   cc98.91f1.79e8  ARPA   Vlan697
Internet  161.8.154.2            12   0013.4991.e3c2  ARPA   Vlan697
Internet  161.8.154.11            0   e0d5.5e30.8958  ARPA   Vlan697
Internet  161.8.154.12            1   b42e.9951.7387  ARPA   Vlan697
Internet  161.8.154.35          108   1c1b.0d5e.7431  ARPA   Vlan697
Internet  161.8.154.48            0   0018.bc03.4a6c  ARPA   Vlan697
Internet  161.8.164.1             -   cc98.91f1.79c3  ARPA   Vlan69
Internet  161.8.164.2             0   Incomplete      ARPA   
Internet  161.8.164.3             0   Incomplete      ARPA   
Internet  161.8.164.4             0   Incomplete      ARPA   
Internet  161.8.164.5             0   Incomplete      ARPA   
Internet  161.8.164.15            0   Incomplete      ARPA   
Internet  161.8.165.1             -   cc98.91f1.79d9  ARPA   Vlan35
Internet  161.8.165.2            62   00a0.c581.9f7c  ARPA   Vlan35
Internet  161.8.165.141           1   2c41.389c.5e37  ARPA   Vlan35
Internet  161.8.165.149           0   Incomplete      ARPA   
Internet  161.8.165.157           0   Incomplete      ARPA   
Internet  161.8.165.160         232   0090.e881.ecb0  ARPA   Vlan35
Internet  161.8.165.175          20   e0d5.5e0f.5afa  ARPA   Vlan35
